image_id,source_type,source_path,ig_post_number,ig_carousel_index,camera_original_id,mapping_status,shot_at,orientation,visual_facts,people_status,privacy_status,body_role,visible_in_ig_card,lightbox_group,final_caption,needs_owner_confirmation
20241028_120048,camera,masters/2024-australia/day-01/20241028_120048.jpg,,,,not_applicable,2024-10-28 12:00:48,portrait,企鵝站在冰雪造景與卵石旁,無人物,OK,body_story,false,sydney-harbour-portrait,企鵝站在冰雪造景與卵石旁,false
20241028_131043,camera,masters/2024-australia/day-01/20241028_131043.jpg,,,,not_applicable,2024-10-28 13:10:43,portrait,從 BigBus 敞篷上層看見橋下與市區街景,乘客背影,OK,body_story,false,sydney-harbour-portrait,從 BigBus 敞篷上層看見橋下與市區街景,false
20241028_131137,camera,masters/2024-australia/day-01/20241028_131137.jpg,,,,not_applicable,2024-10-28 13:11:37,portrait,從 BigBus 上層望向雪梨歌劇院與港灣,乘客背影,OK,body_story,false,sydney-harbour-portrait,從 BigBus 上層望向雪梨歌劇院與港灣,false
20241028_134802,camera,masters/2024-australia/day-01/20241028_134802.jpg,,,,not_applicable,2024-10-28 13:48:02,portrait,聖瑪麗大教堂與前方倒影池,水池周圍遊客,OK,body_story,false,sydney-harbour-portrait,聖瑪麗大教堂與前方倒影池,false
20241028_135537,camera,masters/2024-australia/day-01/20241028_135537.jpg,,,,not_applicable,2024-10-28 13:55:37,portrait,旅伴站在海德公園的海鷗之間,單人側面站立,OK,body_story,false,sydney-harbour-portrait,旅伴站在海德公園的海鷗之間,false
20241028_135639,camera,masters/2024-australia/day-01/20241028_135639.jpg,,,,not_applicable,2024-10-28 13:56:39,portrait,旅伴在聖瑪麗大教堂前餵海鷗,人物背影,OK,body_story,false,sydney-harbour-portrait,旅伴在聖瑪麗大教堂前餵海鷗,false
20241028_145052,camera,masters/2024-australia/day-01/20241028_145052.jpg,,,,not_applicable,2024-10-28 14:50:52,portrait,從 BigBus 敞篷上層看見街旁盛開的藍花楹,乘客背影,OK,body_story,false,sydney-harbour-portrait,從 BigBus 敞篷上層看見街旁盛開的藍花楹,false
20241028_145823,camera,masters/2024-australia/day-01/20241028_145823.jpg,,,,not_applicable,2024-10-28 14:58:23,portrait,BigBus 行經雪梨市區街道,無人物,OK,lightbox_only,false,sydney-harbour-portrait,BigBus 行經雪梨市區街道,false
20241028_152027,camera,masters/2024-australia/day-01/20241028_152027.jpg,,,,not_applicable,2024-10-28 15:20:27,landscape,杜德利佩奇保護區長椅遠眺雪梨天際線,無人物,OK,body_wide,false,sydney-harbour-landscape,杜德利佩奇保護區長椅遠眺雪梨天際線,false
20241028_182217,camera,masters/2024-australia/day-01/20241028_182217.jpg,,,,not_applicable,2024-10-28 18:22:17,portrait,餐桌上的起司、冷肉、水果與橄欖拼盤,無人物,OK,body_story,false,sydney-harbour-portrait,餐桌上的起司、冷肉、水果與橄欖拼盤,false
20241028_182250,camera,masters/2024-australia/day-01/20241028_182250.jpg,,,,not_applicable,2024-10-28 18:22:50,portrait,番茄、水果與香草沙拉,無人物,OK,lightbox_only,false,sydney-harbour-portrait,番茄、水果與香草沙拉,false
20241028_182300,camera,masters/2024-australia/day-01/20241028_182300.jpg,,,,not_applicable,2024-10-28 18:23:00,portrait,炸魷魚與生菜配菜,無人物,OK,lightbox_only,false,sydney-harbour-portrait,炸魷魚與生菜配菜,false
20241028_190325,camera,masters/2024-australia/day-01/20241028_190325.jpg,,,,not_applicable,2024-10-28 19:03:25,portrait,牛排與紅色燉飯主菜,無人物,OK,body_story,false,sydney-harbour-portrait,牛排與紅色燉飯主菜,false
20241028_190413,camera,masters/2024-australia/day-01/20241028_190413.jpg,,,,not_applicable,2024-10-28 19:04:13,portrait,魚排、薯泥與蔬菜主菜,無人物,OK,body_story,false,sydney-harbour-portrait,魚排、薯泥與蔬菜主菜,false
20241028_190445,camera,masters/2024-australia/day-01/20241028_190445.jpg,,,,not_applicable,2024-10-28 19:04:45,portrait,餐桌上的披薩,無人物,OK,lightbox_only,false,sydney-harbour-portrait,餐桌上的披薩,false
18060033169811928,instagram,masters/2024-australia/day-01/18060033169811928.jpg,1,1,20241027_172248,verified,,square,雪梨歌劇院與港灣大橋日間全景,無人物,OK,ig_card,true,sydney-harbour-square,雪梨歌劇院與港灣大橋日間全景,false
18040416868942893,instagram,masters/2024-australia/day-01/18040416868942893.jpg,1,2,,unmapped,,square,作者在雪梨歌劇院前留影,無人物,OK,ig_card,true,sydney-harbour-square,作者在雪梨歌劇院前留影,false
18096459793467062,instagram,masters/2024-australia/day-01/18096459793467062.jpg,1,3,20241027_150054,verified,,square,QVB 上層長廊俯瞰機械大鐘與中庭,遠景遊客,OK,ig_card,true,sydney-harbour-square,QVB 上層長廊俯瞰機械大鐘與中庭,false
18035042102253400,instagram,masters/2024-australia/day-01/18035042102253400.jpg,1,4,,unmapped,,square,聖瑪麗大教堂正面與廣場,無人物,OK,ig_card,true,sydney-harbour-square,聖瑪麗大教堂正面與廣場,false
17936057279814362,instagram,masters/2024-australia/day-01/17936057279814362.jpg,1,5,,unmapped,,square,阿奇博爾德噴泉、彩虹水霧與後方教堂,無明顯人物,OK,ig_card,true,sydney-harbour-square,阿奇博爾德噴泉、彩虹水霧與後方教堂,false
17928989123949964,instagram,masters/2024-australia/day-01/17928989123949964.jpg,1,6,,unmapped,,square,雪梨港灣大橋與臨港步道,無清晰人物,OK,ig_card,true,sydney-harbour-square,雪梨港灣大橋與臨港步道,false
18021274067565797,instagram,masters/2024-australia/day-01/18021274067565797.jpg,1,7,,unmapped,,square,雪梨港灣大橋與遠方歌劇院,街頭行人遠景,OK,ig_card,true,sydney-harbour-square,雪梨港灣大橋與遠方歌劇院,false
18063565438683782,instagram,masters/2024-australia/day-01/18063565438683782.jpg,1,8,,unmapped,,square,雪梨港邊餐飲區與市區天際線,無人物,OK,ig_card,true,sydney-harbour-square,雪梨港邊餐飲區與市區天際線,false
18011845487418722,instagram,masters/2024-australia/day-01/18011845487418722.jpg,2,1,,unmapped,,square,生蠔、鮭魚、熟蝦與醬料組成的海鮮拼盤,無人物,OK,ig_card,true,sydney-harbour-square,生蠔、鮭魚、熟蝦與醬料組成的海鮮拼盤,false
18469220770021116,instagram,masters/2024-australia/day-01/18469220770021116.jpg,2,2,,unmapped,,square,魚市場展示架上的生蠔,無人物,OK,ig_card,true,sydney-harbour-square,魚市場展示架上的生蠔,false
18044695913027144,instagram,masters/2024-australia/day-01/18044695913027144.jpg,2,3,,unmapped,,square,冰塊上陳列的龍蝦,無人物,OK,ig_card,true,sydney-harbour-square,冰塊上陳列的龍蝦,false
17925080507967053,instagram,masters/2024-australia/day-01/17925080507967053.jpg,2,4,,unmapped,,square,魚市場櫃台上的烤蝦串,無人物,OK,ig_card,true,sydney-harbour-square,魚市場櫃台上的烤蝦串,false
18280716562243662,instagram,masters/2024-australia/day-01/18280716562243662.jpg,2,5,,unmapped,,square,Nicholas Seafoods 店面與海鮮櫃,挑選海鮮之遊客背影,OK,ig_card,true,sydney-harbour-square,Nicholas Seafoods 店面與海鮮櫃,false
18183989047307726,instagram,masters/2024-australia/day-01/18183989047307726.jpg,2,6,20241028_092641,verified,,square,作者坐在雪梨魚市場室內座位區,室內遊客群,OK,ig_card,true,sydney-harbour-square,作者坐在雪梨魚市場室內座位區,false
18052548253931738,instagram,masters/2024-australia/day-01/18052548253931738.jpg,2,7,,unmapped,,square,作者在魚市場座位區拿著飲料,無人物,OK,ig_card,true,sydney-harbour-square,作者在魚市場座位區拿著飲料,false
18044657507040595,instagram,masters/2024-australia/day-01/18044657507040595.jpg,2,8,,unmapped,,square,魚市場櫃台裡的起司陳列,無人物,OK,ig_card,true,sydney-harbour-square,魚市場櫃台裡的起司陳列,false
17947264661893660,instagram,masters/2024-australia/day-01/17947264661893660.jpg,2,9,,unmapped,,square,魚市場店內的包裝魚貨展示,戶外遊客遠景,OK,ig_card,true,sydney-harbour-square,魚市場店內的包裝魚貨展示,false
17904507851962838,instagram,masters/2024-australia/day-01/17904507851962838.jpg,3,1,20241028_120048,verified,,square,企鵝站在冰雪造景與卵石旁,無人物,OK,ig_card,true,sydney-harbour-square,企鵝站在冰雪造景與卵石旁,false
18045723770041577,instagram,masters/2024-australia/day-01/18045723770041577.jpg,3,2,,unmapped,,square,企鵝站在卵石與雪地造景上,無人物,OK,ig_card,true,sydney-harbour-square,企鵝站在卵石與雪地造景上,false
18074473585522272,instagram,masters/2024-australia/day-01/18074473585522272.jpg,3,3,,unmapped,,square,作者在 SEA LIFE 企鵝主題佈景前留影,無人物,OK,ig_card,true,sydney-harbour-square,作者在 SEA LIFE 企鵝主題佈景前留影,false
18020513831302766,instagram,masters/2024-australia/day-01/18020513831302766.jpg,3,4,,unmapped,,square,鯊魚游過水族館水槽,遊客剪影,OK,ig_card,true,sydney-harbour-square,鯊魚游過水族館水槽,false
18037644923002945,instagram,masters/2024-australia/day-01/18037644923002945.jpg,3,5,,unmapped,,square,水底隧道與上方游過的魚群,無人物,OK,ig_card,true,sydney-harbour-square,水底隧道與上方游過的魚群,false
18033349949260966,instagram,masters/2024-australia/day-01/18033349949260966.jpg,3,6,20241028_111419,verified,,square,作者站在水底隧道中仰望魚群,無人物,OK,ig_card,true,sydney-harbour-square,作者站在水底隧道中仰望魚群,false
17880043575161386,instagram,masters/2024-australia/day-01/17880043575161386.jpg,3,7,20241028_105930,verified,,square,水族館水槽裡攀附枝條的海馬,無人物,OK,ig_card,true,sydney-harbour-square,水族館水槽裡攀附枝條的海馬,false
18256103977254973,instagram,masters/2024-australia/day-01/18256103977254973.jpg,3,8,20241028_105659,verified,,square,作者在企鵝展區的冰雪造景前留影,小船乘客遠景,OK,ig_card,true,sydney-harbour-square,作者在企鵝展區的冰雪造景前留影,false
18039779906276013,instagram,masters/2024-australia/day-01/18039779906276013.jpg,3,9,20241028_104638,verified,,square,作者站在企鵝展區入口與溫度顯示牌旁,無人物,OK,ig_card,true,sydney-harbour-square,作者站在企鵝展區入口與溫度顯示牌旁,false
18100063120415359,instagram,masters/2024-australia/day-01/18100063120415359.jpg,4,1,20241028_152027,verified,,square,杜德利佩奇保護區長椅遠眺雪梨天際線,車外遠景 / 車內乘客背影,OK,ig_card,true,sydney-harbour-square,杜德利佩奇保護區長椅遠眺雪梨天際線,false
18363065209113136,instagram,masters/2024-australia/day-01/18363065209113136.jpg,4,2,20241028_104501,verified,,square,雪梨魚市場旁的碼頭、旗幟與水岸,無清晰人物,OK,ig_card,true,sydney-harbour-square,雪梨魚市場旁的碼頭、旗幟與水岸,false
17914159401008593,instagram,masters/2024-australia/day-01/17914159401008593.jpg,4,3,,unmapped,,square,從水面仰望雪梨港灣大橋,沙灘遠方零星散步遊客,OK,ig_card,true,sydney-harbour-square,從水面仰望雪梨港灣大橋,false
18048725384302445,instagram,masters/2024-australia/day-01/18048725384302445.jpg,4,4,20241028_131137,verified,,square,從港邊望向雪梨歌劇院與渡輪,遠景遊客,OK,ig_card,true,sydney-harbour-square,從港邊望向雪梨歌劇院與渡輪,false
18103811809444274,instagram,masters/2024-australia/day-01/18103811809444274.jpg,4,5,20241028_145052,verified,,square,從 BigBus 敞篷上層看見盛開的藍花楹,步道遠景遊客,OK,ig_card,true,sydney-harbour-square,從 BigBus 敞篷上層看見盛開的藍花楹,false
18041593787173793,instagram,masters/2024-australia/day-01/18041593787173793.jpg,5,1,,unmapped,,square,旅伴在聖瑪麗大教堂前餵海鷗,無人物,OK,ig_card,true,sydney-harbour-square,旅伴在聖瑪麗大教堂前餵海鷗,false
18021309122284813,instagram,masters/2024-australia/day-01/18021309122284813.jpg,5,2,20241028_134802,verified,,square,聖瑪麗大教堂與前方倒影池,背景模糊行人,OK,ig_card,true,sydney-harbour-square,聖瑪麗大教堂與前方倒影池,false
20241027_172219,camera,masters/2024-australia/day-01/20241027_172219.jpg,,,,,2024-10-27 17:22:19,portrait,雪梨歌劇院前階梯與臨港水岸步道，遊客群與戶外餐飲區,遊客群多景,OK,gallery_only,false,sydney-harbour-portrait,雪梨歌劇院前階梯與水岸步道遊客隨影 · 10/27 17:22,false
IMG_9600,camera,masters/2024-australia/day-01/IMG_9600.jpg,,,,,2024-10-28,portrait,海德公園聖瑪麗大教堂前，人物與群聚地面及低飛海鷗互動隨影,單人背面/側面,OK,gallery_only,false,sydney-harbour-portrait,海德公園水池旁與海鷗互動隨影,false
IMG_9603,camera,masters/2024-australia/day-01/IMG_9603.jpg,,,,,2024-10-28,portrait,海德公園聖瑪麗大教堂前，海鷗展翅低飛靠近人物瞬間,單人背面/側面,OK,gallery_only,false,sydney-harbour-portrait,海德公園聖瑪麗大教堂前海鷗展翅靠近瞬間,false
IMG_9610,camera,masters/2024-australia/day-01/IMG_9610.jpg,,,,,2024-10-28 15:34:46,landscape,雪梨港沿岸水面停泊帆船群，多雲天空與遠方天際線,步道遊客遠景,OK,gallery_only,false,sydney-harbour-landscape,雪梨港沿岸水面停泊帆船群與遠眺天際線 · 10/28 15:34,false
